County,Cost,State,Income
Apache,853,Arizona,"45,633"
Cochise,"1,689",Arizona,"50,195"
Coconino,899,Arizona,"58,933"
Gila,853,Arizona,"50,505"
Graham,853,Arizona,"40,981"
Greenlee,853,Arizona,"54,219"
LaPaz,"1,505",Arizona,"53,997"
Maricopa,"1,669",Arizona,"63,461"
Mohave,"1,559",Arizona,"44,645"
Navajo,869,Arizona,"42,096"
Pima,"1,191",Arizona,"54,464"
Pinal,853,Arizona,"45,950"
SantaCruz,"1,299",Arizona,"47,898"
Yavapai,"1,177",Arizona,"51,747"
Yuma,"1,669",Arizona,"44,811"
Adams,"3,113",Colorado,"54,681"
Alamosa,"2,699",Colorado,"43,071"
Arapahoe,"2,319",Colorado,"76,304"
Archuleta,"2,699",Colorado,"55,120"
Baca,"2,699",Colorado,"45,659"
Bent,"1,588",Colorado,"32,978"
Boulder,"3,417",Colorado,"98,553"
Broomfield,"2,918",Colorado,"86,930"
Chaffee,"2,901",Colorado,"64,561"
Cheyenne,"1,567",Colorado,"52,629"
ClearCreek,"3,390",Colorado,"77,455"
Conejos,"2,699",Colorado,"43,300"
Costilla,"2,699",Colorado,"39,571"
Crowley,"1,709",Colorado,"22,240"
Custer,"2,768",Colorado,"50,780"
Delta,"2,948",Colorado,"47,593"
Denver,"3,458",Colorado,"112,290"
Dolores,"2,948",Colorado,"38,962"
Douglas,"3,496",Colorado,"99,168"
Eagle,"3,359",Colorado,"113,643"
Elbert,"2,630",Colorado,"76,264"
ElPaso,"2,699",Colorado,"61,076"
Fremont,"2,798",Colorado,"42,499"
Garfield,"3,359",Colorado,"65,657"
Gilpin,"3,353",Colorado,"66,285"
Grand,"3,383",Colorado,"68,066"
Gunnison,"2,948",Colorado,"65,797"
Hinsdale,"2,865",Colorado,"61,084"
Huerfano,"2,699",Colorado,"49,407"
Jackson,"3,366",Colorado,"63,428"
Jefferson,"3,390",Colorado,"79,751"
Kiowa,"1,567",Colorado,"51,779"
KitCarson,"1,567",Colorado,"43,807"
Lake,"3,336",Colorado,"51,963"
LaPlata,"2,699",Colorado,"68,794"
Larimer,"3,340",Colorado,"67,849"
LasAnimas,"2,699",Colorado,"44,498"
Lincoln,"1,567",Colorado,"34,678"
Logan,"1,567",Colorado,"49,736"
Mesa,"2,948",Colorado,"54,654"
Mineral,"2,699",Colorado,"67,889"
Moffat,"3,154",Colorado,"47,523"
Montezuma,"2,948",Colorado,"50,508"
Montrose,"2,948",Colorado,"50,848"
Morgan,"1,567",Colorado,"50,640"
Otero,"1,567",Colorado,"41,533"
Ouray,"2,938",Colorado,"88,190"
Park,"3,303",Colorado,"61,230"
Phillips,"1,567",Colorado,"48,096"
Pitkin,"3,172",Colorado,"217,482"
Prowers,"2,144",Colorado,"45,223"
Pueblo,"2,699",Colorado,"47,208"
RioBlanco,"3,257",Colorado,"56,583"
RioGrande,"2,699",Colorado,"54,513"
Routt,"3,366",Colorado,"119,278"
Saguache,"2,699",Colorado,"37,247"
SanJuan,"2,904",Colorado,"53,172"
SanMiguel,"2,948",Colorado,"138,635"
Sedgwick,"1,567",Colorado,"44,053"
Summit,"3,327",Colorado,"94,423"
Teller,"2,720",Colorado,"65,399"
Washington,"1,567",Colorado,"43,100"
Weld,"1,567",Colorado,"58,860"
Yuma,"1,567",Colorado,"44,948"
Ada,"1,363",Idaho,"67,555"
Adams,"1,363",Idaho,"43,730"
Bannock,"1,363",Idaho,"47,457"
BearLake,"1,363",Idaho,"48,506"
Benewah,"1,363",Idaho,"43,568"
Bingham,"1,363",Idaho,"46,908"
Blaine,"1,363",Idaho,"165,640"
Boise,"1,363",Idaho,"53,627"
Bonner,"1,363",Idaho,"51,980"
Bonneville,"1,363",Idaho,"62,984"
Boundary,"1,363",Idaho,"45,392"
Butte,"1,363",Idaho,"53,691"
Camas,"1,363",Idaho,"61,839"
Canyon,"1,363",Idaho,"45,412"
Caribou,"1,363",Idaho,"48,447"
Cassia,"1,363",Idaho,"54,637"
Clark,"1,363",Idaho,"47,270"
Clearwater,"1,363",Idaho,"43,539"
Custer,"1,363",Idaho,"51,352"
Elmore,"1,363",Idaho,"43,302"
Franklin,"1,363",Idaho,"44,275"
Fremont,"1,363",Idaho,"46,611"
Gem,"1,363",Idaho,"46,896"
Gooding,"1,363",Idaho,"72,945"
Idaho,"1,363",Idaho,"44,315"
Jefferson,"1,363",Idaho,"45,376"
Jerome,"1,363",Idaho,"45,665"
Kootenai,"1,363",Idaho,"60,474"
Latah,"1,363",Idaho,"52,627"
Lemhi,"1,363",Idaho,"54,050"
Lewis,"1,363",Idaho,"60,480"
Lincoln,"1,363",Idaho,"51,693"
Madison,"1,363",Idaho,"27,836"
Minidoka,"1,363",Idaho,"47,934"
NezPerce,"1,363",Idaho,"54,421"
Oneida,"1,363",Idaho,"46,699"
Owyhee,"1,363",Idaho,"48,250"
Payette,"1,363",Idaho,"48,642"
Power,"1,363",Idaho,"47,617"
Shoshone,"1,363",Idaho,"45,311"
Teton,"1,363",Idaho,"62,194"
TwinFalls,"1,363",Idaho,"49,019"
Valley,"1,363",Idaho,"64,666"
Washington,"1,363",Idaho,"43,417"
Adams,"1,565",Illinois,"56,218"
Alexander,"1,884",Illinois,"48,741"
Bond,"1,617",Illinois,"45,366"
Boone,"2,091",Illinois,"55,513"
Brown,"1,573",Illinois,"46,761"
Bureau,"1,606",Illinois,"51,583"
Calhoun,"1,555",Illinois,"55,438"
Carroll,"2,011",Illinois,"51,788"
Cass,"1,553",Illinois,"50,030"
Champaign,"1,806",Illinois,"54,633"
Christian,"1,580",Illinois,"49,053"
Clark,"1,579",Illinois,"51,125"
Clay,"1,708",Illinois,"49,215"
Clinton,"1,782",Illinois,"58,868"
Coles,"1,646",Illinois,"52,162"
Cook,"2,188",Illinois,"72,847"
Crawford,"1,629",Illinois,"52,188"
Cumberland,"1,607",Illinois,"89,427"
DeKalb,"1,928",Illinois,"51,005"
DeWitt,"1,522",Illinois,"57,270"
Douglas,"1,672",Illinois,"62,992"
DuPage,"2,061",Illinois,"88,588"
Edgar,"1,578",Illinois,"56,293"
Edwards,"1,846",Illinois,"49,808"
Effingham,"1,658",Illinois,"62,321"
Fayette,"2,028",Illinois,"44,553"
Ford,"1,701",Illinois,"64,367"
Franklin,"2,657",Illinois,"45,261"
Fulton,"1,513",Illinois,"47,964"
Gallatin,"1,804",Illinois,"54,579"
Greene,"1,565",Illinois,"53,359"
Grundy,"1,768",Illinois,"60,964"
Hamilton,"2,083",Illinois,"53,404"
Hancock,"1,565",Illinois,"56,127"
Hardin,"1,824",Illinois,"46,014"
Henderson,"1,514",Illinois,"57,521"
Henry,"1,545",Illinois,"56,099"
Iroquois,"1,679",Illinois,"57,391"
Jackson,"1,412",Illinois,"46,270"
Jasper,"1,622",Illinois,"56,506"
Jefferson,"2,156",Illinois,"47,153"
Jersey,"1,597",Illinois,"52,423"
JoDaviess,"2,430",Illinois,"58,113"
Johnson,"1,936",Illinois,"39,362"
Kane,"1,690",Illinois,"63,889"
Kankakee,"1,678",Illinois,"51,048"
Kendall,"1,843",Illinois,"58,683"
Knox,"1,394",Illinois,"46,991"
Lake,"2,498",Illinois,"94,022"
LaSalle,"1,473",Illinois,"53,325"
Lawrence,"1,768",Illinois,"39,371"
Lee,"1,699",Illinois,"52,103"
Livingston,"1,687",Illinois,"56,782"
Logan,"1,668",Illinois,"48,267"
Macon,"1,101",Illinois,"48,091"
Macoupin,"1,555",Illinois,"65,807"
Madison,"1,555",Illinois,"58,178"
Marion,"1,837",Illinois,"56,774"
Marshall,"1,674",Illinois,"51,047"
Mason,"1,889",Illinois,"55,991"
Massac,"1,832",Illinois,"50,032"
McDonough,"1,642",Illinois,"56,882"
McHenry,"2,619",Illinois,"56,174"
McLean,"1,689",Illinois,"44,953"
Menard,"1,532",Illinois,"57,347"
Mercer,"1,508",Illinois,"59,186"
Monroe,"2,142",Illinois,"68,762"
Montgomery,"1,601",Illinois,"43,454"
Morgan,"1,469",Illinois,"50,027"
Moultrie,"1,346",Illinois,"75,225"
Ogle,"1,459",Illinois,"54,751"
Peoria,"1,743",Illinois,"57,356"
Perry,"2,246",Illinois,"42,923"
Piatt,"1,522",Illinois,"67,037"
Pike,"1,565",Illinois,"55,127"
Pope,"1,804",Illinois,"36,510"
Pulaski,"1,868",Illinois,"45,893"
Putnam,"1,566",Illinois,"66,956"
Randolph,"1,906",Illinois,"46,444"
